title,category,pattern_en,pattern_cn,example_en,example_cn,slots,usage_note,difficulty,tag,source_order,source
引出现象,开头引入,"In recent years, there has been a growing tendency for [group] to [action].",近年来，[群体]越来越倾向于[行为]。,"In recent years, there has been a growing tendency for college students to use online learning platforms.",近年来，大学生越来越倾向于使用在线学习平台。,[group]; [action].,适用于六级作文/翻译中的“开头引入”功能。,1,CET6-Writing,1,P10.1.1 curated seed
社会关注,开头引入,[Topic] has aroused widespread concern among the public.,[话题]已经引起公众广泛关注。,Online privacy has aroused widespread concern among the public.,网络隐私已经引起公众广泛关注。,[Topic],适用于六级作文/翻译中的“开头引入”功能。,1,CET6-Writing,2,P10.1.1 curated seed
不可否认,开头引入,There is no denying that [statement].,不可否认，[观点]。,There is no denying that regular reading can improve students' critical thinking.,不可否认，定期阅读能够提升学生的批判性思维。,[statement].,适用于六级作文/翻译中的“开头引入”功能。,1,CET6-Writing,3,P10.1.1 curated seed
普遍认为,开头引入,It is widely acknowledged that [statement].,人们普遍认为，[观点]。,It is widely acknowledged that environmental protection requires joint efforts from individuals and society.,人们普遍认为，环境保护需要个人和社会的共同努力。,[statement].,适用于六级作文/翻译中的“开头引入”功能。,2,CET6-Writing,4,P10.1.1 curated seed
随着发展,开头引入,"With the rapid development of [field], [phenomenon] has become increasingly common.",随着[领域]快速发展，[现象]越来越普遍。,"With the rapid development of artificial intelligence, online education has become increasingly common.",随着人工智能的快速发展，在线教育变得越来越普遍。,"[field],; [phenomenon]",适用于六级作文/翻译中的“开头引入”功能。,2,CET6-Writing,5,P10.1.1 curated seed
当谈及,开头引入,"When it comes to [topic], people hold different views.",当谈到[话题]时，人们观点各异。,"When it comes to part-time jobs, people hold different views.",当谈到兼职工作时，人们观点各异。,"[topic],",适用于六级作文/翻译中的“开头引入”功能。,2,CET6-Writing,6,P10.1.1 curated seed
值得注意,开头引入,It is worth noting that [phenomenon] is no longer rare in modern society.,值得注意的是，[现象]在现代社会已不再罕见。,It is worth noting that food waste is no longer rare on campus.,值得注意的是，校园食品浪费已不再罕见。,[phenomenon],适用于六级作文/翻译中的“开头引入”功能。,2,CET6-Writing,7,P10.1.1 curated seed
问题浮现,开头引入,The issue of [problem] has come into the spotlight.,[问题]已经成为关注焦点。,The issue of excessive screen time has come into the spotlight.,过度使用屏幕的问题已经成为关注焦点。,[problem],适用于六级作文/翻译中的“开头引入”功能。,2,CET6-Writing,8,P10.1.1 curated seed
背景变化,开头引入,"Against the background of [background], [topic] deserves closer attention.",在[背景]下，[话题]值得更密切关注。,"Against the background of rapid urbanization, public transportation deserves closer attention.",在快速城市化的背景下，公共交通值得更密切关注。,"[background],; [topic]",适用于六级作文/翻译中的“开头引入”功能。,3,CET6-Writing,9,P10.1.1 curated seed
引出讨论,开头引入,A heated discussion has been triggered by [event/topic].,[事件/话题]引发了热烈讨论。,A heated discussion has been triggered by the popularity of short videos.,短视频的流行引发了热烈讨论。,[event/topic].,适用于六级作文/翻译中的“开头引入”功能。,3,CET6-Writing,10,P10.1.1 curated seed
我认为,表达观点,"From my perspective, [view].",在我看来，[观点]。,"From my perspective, practical ability is as important as academic knowledge.",在我看来，实践能力和学术知识同样重要。,[view].,适用于六级作文/翻译中的“表达观点”功能。,1,CET6-Writing,11,P10.1.1 curated seed
我倾向于,表达观点,I am inclined to believe that [view].,我倾向于认为，[观点]。,I am inclined to believe that students should develop the habit of independent thinking.,我倾向于认为，学生应该培养独立思考的习惯。,[view].,适用于六级作文/翻译中的“表达观点”功能。,1,CET6-Writing,12,P10.1.1 curated seed
立场明确,表达观点,"My view is that [view], especially when [condition].",我的观点是[观点]，尤其是在[条件]下。,"My view is that digital tools can improve learning efficiency, especially when students use them properly.",我的观点是，数字工具能够提高学习效率，尤其是在学生合理使用它们时。,"[view],; [condition].",适用于六级作文/翻译中的“表达观点”功能。,1,CET6-Writing,13,P10.1.1 curated seed
毫无疑问,表达观点,There is little doubt that [view].,毫无疑问，[观点]。,There is little doubt that teamwork plays an important role in personal growth.,毫无疑问，团队合作在个人成长中发挥着重要作用。,[view].,适用于六级作文/翻译中的“表达观点”功能。,2,CET6-Writing,14,P10.1.1 curated seed
重要性突出,表达观点,The importance of [topic] can never be overemphasized.,[话题]的重要性再怎么强调也不为过。,The importance of mental health can never be overemphasized.,心理健康的重要性再怎么强调也不为过。,[topic],适用于六级作文/翻译中的“表达观点”功能。,2,CET6-Writing,15,P10.1.1 curated seed
平衡看待,表达观点,We should view [topic] in a balanced and rational way.,我们应以平衡理性的方式看待[话题]。,We should view artificial intelligence in a balanced and rational way.,我们应以平衡理性的方式看待人工智能。,[topic],适用于六级作文/翻译中的“表达观点”功能。,2,CET6-Writing,16,P10.1.1 curated seed
支持某观点,表达观点,I fully support the idea that [view].,我完全支持[观点]这一想法。,I fully support the idea that universities should offer more practical courses.,我完全支持大学应开设更多实践课程这一想法。,[view].,适用于六级作文/翻译中的“表达观点”功能。,2,CET6-Writing,17,P10.1.1 curated seed
反对某观点,表达观点,I cannot agree with the view that [opposite view].,我不能同意[相反观点]。,I cannot agree with the view that grades are the only standard of success.,我不能同意成绩是成功唯一标准这一观点。,[opposite view],适用于六级作文/翻译中的“表达观点”功能。,2,CET6-Writing,18,P10.1.1 curated seed
个人选择,表达观点,"For individuals, the wiser choice is to [action].",对个人而言，更明智的选择是[行动]。,"For individuals, the wiser choice is to manage time before pressure becomes overwhelming.",对个人而言，更明智的选择是在压力变得难以承受之前管理好时间。,[action].,适用于六级作文/翻译中的“表达观点”功能。,3,CET6-Writing,19,P10.1.1 curated seed
核心判断,表达观点,"The key point is not [A], but [B].",关键不在于[A]，而在于[B]。,"The key point is not how many apps we use, but how effectively we learn from them.",关键不在于我们使用多少应用，而在于我们能从中多有效地学习。,"[A],; [B].",适用于六级作文/翻译中的“表达观点”功能。,3,CET6-Writing,20,P10.1.1 curated seed
主要原因,原因分析,The primary reason is that [reason].,主要原因是[原因]。,The primary reason is that many students lack effective time management skills.,主要原因是许多学生缺乏有效的时间管理能力。,[reason].,适用于六级作文/翻译中的“原因分析”功能。,1,CET6-Writing,21,P10.1.1 curated seed
另一个原因,原因分析,Another contributing factor is that [reason].,另一个促成因素是[原因]。,Another contributing factor is that social media often distracts young people from deep reading.,另一个促成因素是社交媒体常常使年轻人无法进行深度阅读。,[reason].,适用于六级作文/翻译中的“原因分析”功能。,1,CET6-Writing,22,P10.1.1 curated seed
