source_order,lesson,word,phonetic,meaning_cn,example_en,example_cn,tag
1,1,traditional,,"a. 传统的,惯例的",,,CET6-Lesson1
2,1,vision,,n. 想象（力），幻想，视力，视觉,,,CET6-Lesson1
3,1,extraordinary,,a. 不平常的，特别的，非凡的,,,CET6-Lesson1
4,1,perpetual,,a. 永久的，永恒的，长期的； 无休止的，没完没了的,,,CET6-Lesson1
5,1,remote,,a. 遥远的，偏僻的；关系疏远的； 绝少的，微乎其微的,,,CET6-Lesson1
6,1,rub,,vt. 擦，摩擦,,,CET6-Lesson1
7,1,alien,,a. 外国的；陌生的；性质不同的，不相容的 n. 外国人，外侨，外星人,,,CET6-Lesson1
8,1,descendant,,n. 后裔，后代,,,CET6-Lesson1
9,1,religion,,n. 宗教，宗教信仰,,,CET6-Lesson1
10,1,religious,,a. 宗教的，虔诚的，笃信宗教的,,,CET6-Lesson1
11,1,prejudice,,n. 偏见，成见,,,CET6-Lesson1
12,1,claim,,vt. 声称，断言；对…提出要求，索取 n. 要求，认领，索赔；声称，断言,,,CET6-Lesson1
13,1,process,,n. 过程；工序，制作法；（法律）程序 vt. 加工，处理，办理,,,CET6-Lesson1
14,1,invitation,,n. 邀请；请柬，邀请书,,,CET6-Lesson1
15,1,nuclear,,a. 核子的；核能的，核心的,,,CET6-Lesson1
16,1,vacuum,,n. 真空；真空吸尘器 v. 用吸尘器清扫,,,CET6-Lesson1
17,1,institute,,n. 学院 vt. 建立,,,CET6-Lesson1
18,1,organ,,n. 器官；风琴；机构； 新闻媒介，宣传工具,,,CET6-Lesson1
19,1,inject,,vt. 注射；注入,,,CET6-Lesson1
20,1,cell,,n. 细胞；电池,,,CET6-Lesson1
21,1,injury,,n. 损害，伤害；受伤处,,,CET6-Lesson1
22,1,heal,,vi. 愈合，使康复； vt. 治愈；调停,,,CET6-Lesson1
23,1,tune,,n. 曲子，曲调； vt. 为乐器调音；调节,,,CET6-Lesson1
24,1,genetic,,a. 遗传（学）的 n. [-s]遗传学,,,CET6-Lesson1
25,1,anticipate,,vt. 预期，期望，预料； 先于…行动，提前使用,,,CET6-Lesson1
26,1,kidney,,n. 肾，肾脏,,,CET6-Lesson1
27,1,surgeon,,n. 外科医生,,,CET6-Lesson1
28,1,contact,,n. 联系；接触；熟人；（电路的）触点 vt. 与…取得联系，与…接触,,,CET6-Lesson1
29,1,commercial,,a. 商业的，商务的；商品化的，商业性的 n. 商业广告,,,CET6-Lesson1
30,1,profile,,n. 侧面（像）；传略，人物简介；轮廓，形象 vt. 为…描绘（轮廓等）,,,CET6-Lesson1
31,1,tissue,,n. 组织；薄纱，薄纸，手巾纸,,,CET6-Lesson1
